Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1001,1,Bam Adebayo,C,25,MIA,11,11,35.0,7.5,15.0,0.814,2.8,6.4,9.2,3.5,1.1,0.6,2.6,3.5,18.1
1002,2,Santi Aldama,PF,22,MEM,6,0,16.8,2.5,5.5,1.0,1.2,3.2,4.3,1.2,0.5,0.0,0.3,0.8,6.5
1003,3,Nickeil Alexander-Walker,SG,24,MIN,5,4,29.6,3.0,7.0,0.667,0.2,1.8,2.0,1.4,0.6,0.2,0.8,1.8,8.4
1004,4,Grayson Allen,SG,27,MIL,5,5,29.8,3.8,8.2,0.857,0.2,2.2,2.4,1.8,0.4,0.0,0.8,1.4,11.6
1005,5,Jarrett Allen,C,24,CLE,5,5,38.2,4.4,7.2,0.5,3.0,4.4,7.4,2.4,0.8,1.0,0.6,2.0,9.4
1006,6,Kyle Anderson,PF,29,MIN,4,0,26.0,3.8,7.5,1.0,0.8,3.3,4.0,4.5,1.8,0.5,1.5,3.3,8.5
1007,7,Giannis Antetokounmpo,PF,28,MIL,3,3,30.3,9.3,17.7,0.452,2.7,8.3,11.0,5.3,0.3,0.7,4.7,3.0,23.3
1008,8,Thanasis Antetokounmpo,SF,30,MIL,2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,9,Deandre Ayton,C,24,PHO,10,10,31.9,6.1,11.1,0.522,2.9,6.8,9.7,1.0,0.6,0.7,1.7,3.5,13.4
1010,10,Patrick Baldwin Jr.,SF,20,GSW,3,0,3.7,0.0,1.0,0.0,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0
1011,11,Mo Bamba,C,24,LAL,3,0,3.3,0.0,0.7,0.0,0.0,1.0,1.0,0.3,0.0,0.3,0.0,0.0,0.0
1012,12,Desmond Bane,SG,24,MEM,6,6,38.5,8.2,19.3,0.931,1.2,4.8,6.0,3.2,0.5,0.0,2.8,3.2,23.5
1013,13,Harrison Barnes,PF,30,SAC,7,7,28.0,3.6,8.6,0.731,1.4,2.0,3.4,0.7,1.1,0.3,0.4,0.7,10.7
1014,14,RJ Barrett,SG,22,NYK,11,11,34.3,6.5,14.9,0.769,0.5,4.0,4.5,2.8,0.8,0.2,2.3,2.3,19.3
1015,15,Nicolas Batum,PF,34,LAC,5,3,18.4,1.6,3.8,0.0,0.2,2.0,2.2,1.2,0.4,0.4,0.4,2.0,4.4
1016,16,Malik Beasley,SG,26,LAL,10,0,9.0,1.0,3.3,1.0,0.3,0.5,0.8,0.2,0.1,0.0,0.2,0.6,3.3
1017,17,MarJon Beauchamp,SF,22,MIL,2,0,2.5,1.0,1.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.5
1018,18,Saddiq Bey,SF,23,ATL,6,0,22.2,2.5,6.7,0.889,1.2,2.8,4.0,1.0,0.5,0.0,0.3,0.5,7.5
1019,19,Bismack Biyombo,C,30,PHO,8,0,9.8,1.1,2.0,0.5,1.3,2.1,3.4,0.8,0.0,1.3,0.8,2.3,3.4
1020,20,Bogdan Bogdanovi?,SG,30,ATL,6,1,26.2,5.0,9.0,0.714,0.3,2.7,3.0,2.5,1.0,0.8,0.5,2.7,13.3
1021,21,Devin Booker,SG,26,PHO,11,11,41.7,12.8,21.9,0.866,1.1,3.7,4.8,7.2,1.7,0.8,2.9,3.4,33.7
1022,22,Brandon Boston Jr.,SG,21,LAC,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1023,23,Christian Braun,SG,21,DEN,11,0,13.2,1.1,2.2,0.6,0.6,1.7,2.4,0.5,0.5,0.1,0.6,1.7,2.9
1024,24,Mikal Bridges,SF,26,BRK,4,4,39.3,8.3,19.3,0.783,0.5,4.8,5.3,4.0,0.5,0.5,2.0,1.3,23.5
1025,25,Malcolm Brogdon,PG,30,BOS,12,0,27.7,5.4,11.9,0.846,0.8,3.4,4.3,3.8,0.2,0.2,1.2,1.6,15.0
1026,26,Dillon Brooks,SF,27,MEM,6,6,27.8,4.0,12.8,0.714,0.5,2.5,3.0,1.8,0.2,0.0,1.2,3.3,10.5
1027,27,Bruce Brown,SG,26,DEN,11,0,25.9,4.5,8.5,0.871,0.5,3.3,3.8,2.1,1.3,0.4,1.3,2.6,12.2
1028,28,Jaylen Brown,SF,26,BOS,12,12,37.5,9.7,17.7,0.673,0.9,4.3,5.3,3.5,0.9,0.3,3.2,3.1,24.6
1029,29,Troy Brown Jr.,SF,23,LAL,11,0,11.3,0.8,2.4,0.0,0.3,1.8,2.1,1.0,0.2,0.1,0.0,0.4,1.8
1030,30,Jalen Brunson,PG,26,NYK,11,11,40.3,9.9,20.9,0.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,27.8
1031,31,Jimmy Butler,SF,33,MIA,10,10,39.1,10.9,20.7,0.792,2.1,4.5,6.6,5.4,1.7,0.8,2.0,1.9,31.1
1032,32,Kentavious Caldwell-Pope,SG,29,DEN,11,11,33.2,3.7,7.8,0.889,0.6,2.6,3.3,1.6,1.4,0.5,0.6,2.1,10.5
1033,33,Vlatko ?an?ar,PF,25,DEN,4,0,2.5,0.0,1.3,0.0,0.0,0.8,0.8,0.3,0.0,0.0,0.0,0.0,0.0
1034,34,Clint Capela,C,28,ATL,6,6,25.2,3.8,6.3,0.667,2.5,5.8,8.3,0.5,1.0,0.5,0.7,0.8,8.3
