Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1001,1,Precious Achiuwa,C,23,TOR,55,12,20.7,3.6,7.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2
1002,2,Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
1003,3,Bam Adebayo,C,25,MIA,75,75,34.6,8.0,14.9,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4
1004,4,Ochai Agbaji,SG,22,UTA,59,22,20.5,2.8,6.5,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9
1005,5,Santi Aldama,PF,22,MEM,77,20,21.8,3.2,6.8,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0
1006,6,Nickeil Alexander-Walker,SG,24,TOT,59,3,15.0,2.2,5.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2
1006,6,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3
1006,6,Nickeil Alexander-Walker,SG,24,MIN,23,0,15.5,2.1,5.4,0.619,0.3,1.5,1.8,1.4,0.3,0.3,0.4,1.3,5.9
1007,7,Grayson Allen,SG,27,MIL,72,70,27.4,3.4,7.7,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4
1008,8,Jarrett Allen,C,24,CLE,68,68,32.6,5.9,9.2,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3
1009,9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0
1010,10,Kyle Anderson,PF,29,MIN,69,46,28.4,3.7,7.2,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4
1011,11,Giannis Antetokounmpo,PF,28,MIL,63,63,32.1,11.2,20.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1
1012,12,Thanasis Antetokounmpo,SF,30,MIL,37,0,5.6,0.5,1.2,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4
1013,13,Cole Anthony,PG,22,ORL,60,4,25.9,4.6,10.2,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0
1014,14,OG Anunoby,SF,25,TOR,67,67,35.6,6.3,13.2,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8
1015,15,Ryan Arcidiacono,PG,28,TOT,20,4,8.6,0.5,1.9,0.0,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3
1015,15,Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,0.0,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
1015,15,Ryan Arcidiacono,PG,28,POR,9,4,16.2,0.9,3.6,0.0,0.0,1.2,1.2,2.3,0.3,0.0,0.7,1.6,2.6
1016,16,Deni Avdija,SF,22,WAS,76,40,26.6,3.3,7.6,0.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2
1017,17,Deandre Ayton,C,24,PHO,67,67,30.4,7.8,13.2,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0
1018,18,Udoka Azubuike,C,23,UTA,36,4,10.0,1.6,2.0,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5
1019,19,Marvin Bagley III,C,23,DET,42,25,23.6,4.8,9.1,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0
1020,20,Patrick Baldwin Jr.,SF,20,GSW,31,0,7.3,1.4,3.5,0.667,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9
1021,21,LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3
1022,22,Mo Bamba,C,24,TOT,49,7,15.7,2.4,4.9,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6
1022,22,Mo Bamba,C,24,ORL,40,6,17.0,2.7,5.4,0.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3
1022,22,Mo Bamba,C,24,LAL,9,1,9.8,1.2,3.0,0.545,1.2,3.3,4.6,0.4,0.1,0.6,0.9,2.1,3.7
